transaction_id,amount,transaction_time,user_id,merchant_id,location,is_fraud
TX00000,1873.33,2023-06-04 05:21:03,943,849,Location_75,0
TX00001,4753.62,2023-07-01 20:48:55,552,834,Location_2,0
TX00002,3660.24,2023-01-13 01:44:47,735,779,Location_76,0
TX00003,2993.69,2023-10-03 15:48:28,85,873,Location_64,0
TX00004,780.94,2023-04-24 13:34:28,970,563,Location_77,0
TX00005,780.82,2023-12-01 09:22:06,109,746,Location_4,0
TX00006,291.36,2023-05-07 09:44:15,939,138,Location_67,0
TX00007,4331.01,2023-12-17 18:49:04,80,780,Location_74,0
TX00008,3005.97,2023-01-23 23:11:19,759,96,Location_87,0
TX00009,3540.65,2023-08-19 13:54:40,94,556,Location_21,0
TX00010,103.9,2023-10-11 06:17:31,627,702,Location_19,0
TX00011,4849.58,2023-07-15 11:28:42,370,87,Location_17,0
TX00012,4162.38,2023-05-31 14:30:12,521,438,Location_3,0
TX00013,1062.48,2023-09-19 19:01:07,926,280,Location_81,0
TX00014,909.94,2023-10-05 20:02:38,339,889,Location_3,0
TX00015,917.84,2023-12-04 19:45:13,330,46,Location_97,0
TX00016,1521.91,2023-07-30 07:26:00,598,592,Location_86,0
TX00017,2624.26,2023-02-10 08:14:05,976,925,Location_10,0
TX00018,2160.29,2023-03-15 19:54:02,703,906,Location_8,0
TX00019,1456.85,2023-12-28 10:19:03,270,971,Location_27,0
TX00020,3059.65,2023-05-26 16:19:42,239,558,Location_14,0
TX00021,698.33,2023-02-17 11:47:59,374,301,Location_86,0
TX00022,1461.43,2023-03-19 08:09:15,162,899,Location_74,0
TX00023,1832.44,2023-01-04 07:34:13,731,107,Location_70,0
TX00024,2280.89,2023-03-01 10:54:53,224,592,Location_88,0
TX00025,3926.09,2023-07-23 13:05:27,833,252,Location_4,0
TX00026,999.17,2023-09-12 23:30:29,460,169,Location_4,0
TX00027,2571.66,2023-09-28 01:35:25,244,335,Location_98,0
TX00028,2962.48,2023-04-04 11:52:54,645,254,Location_61,0
TX00029,233.21,2023-06-22 00:56:12,188,940,Location_3,0
TX00030,3038.12,2023-07-10 08:22:42,385,458,Location_92,0
TX00031,853.45,2023-04-15 02:15:20,785,914,Location_33,1
TX00032,326.19,2023-06-11 11:46:15,21,515,Location_47,0
TX00033,4744.48,2023-07-19 21:25:53,929,650,Location_16,0
TX00034,4828.19,2023-02-12 13:30:58,939,674,Location_3,0
TX00035,4042.18,2023-04-24 08:20:22,523,351,Location_20,0
TX00036,1523.76,2023-03-24 20:50:08,348,893,Location_88,0
TX00037,489.26,2023-01-20 14:23:05,467,147,Location_37,0
TX00038,3421.48,2023-04-19 00:53:00,360,184,Location_33,0
TX00039,2201.32,2023-11-02 16:02:11,877,414,Location_5,0
TX00040,611.07,2023-05-02 12:08:57,587,544,Location_30,0
TX00041,2476.39,2023-10-16 13:40:08,847,981,Location_5,0
TX00042,172.91,2023-06-13 09:59:13,647,817,Location_14,0
TX00043,4546.69,2023-01-08 00:55:58,452,881,Location_51,0
TX00044,1294.64,2023-06-26 01:23:09,699,388,Location_41,0
TX00045,3312.95,2023-05-16 22:43:16,810,287,Location_43,0
TX00046,1559.24,2023-09-07 06:29:48,248,194,Location_73,0
TX00047,2600.82,2023-01-26 11:10:33,977,127,Location_49,0
TX00048,2734.0,2023-04-21 20:38:34,119,305,Location_95,0
TX00049,925.09,2023-07-26 18:31:47,592,183,Location_30,1
TX00050,4847.95,2023-05-05 15:44:14,640,646,Location_5,0
TX00051,3875.89,2023-08-04 01:35:02,176,274,Location_72,0
TX00052,4697.56,2023-05-17 08:45:00,724,962,Location_18,0
TX00053,4474.24,2023-09-02 10:48:28,425,82,Location_50,0
TX00054,2989.9,2023-10-12 00:15:24,456,936,Location_14,0
TX00055,4609.45,2023-03-25 01:17:37,169,99,Location_18,0
TX00056,443.37,2023-07-31 17:45:58,615,619,Location_26,0
TX00057,980.72,2023-01-18 14:12:23,794,39,Location_12,0
TX00058,227.09,2023-11-27 17:19:14,728,693,Location_98,0
TX00059,1627.33,2023-03-21 02:43:23,413,179,Location_32,0
TX00060,1944.0,2023-07-23 07:26:53,716,754,Location_95,0
TX00061,1357.47,2023-10-07 01:20:39,318,48,Location_72,0
TX00062,4143.86,2023-08-23 19:59:36,938,517,Location_39,0
TX00063,1784.41,2023-04-04 18:16:39,945,947,Location_43,0
TX00064,1405.39,2023-06-14 23:15:53,800,357,Location_48,0
TX00065,2713.94,2023-11-04 19:47:09,187,250,Location_41,0
TX00066,705.48,2023-01-17 01:35:04,351,290,Location_50,0
TX00067,4011.18,2023-05-28 11:00:20,735,454,Location_35,0
TX00068,373.68,2023-09-09 22:36:04,623,473,Location_23,0
TX00069,4934.45,2023-06-14 22:01:46,641,664,Location_95,0
TX00070,3861.45,2023-05-28 05:56:11,271,130,Location_22,0
TX00071,994.38,2023-10-27 04:04:27,853,661,Location_9,0
TX00072,28.61,2023-12-09 00:05:40,313,426,Location_6,0
TX00073,4077.49,2023-03-04 16:48:30,838,824,Location_11,0
TX00074,3534.58,2023-09-22 15:10:26,44,51,Location_60,1
TX00075,3645.31,2023-04-30 18:59:45,844,919,Location_26,0
TX00076,3856.58,2023-10-07 12:20:32,422,463,Location_98,0
TX00077,371.15,2023-05-03 08:05:18,823,682,Location_33,0
TX00078,1792.97,2023-12-31 05:00:13,267,329,Location_99,0
TX00079,580.23,2023-05-15 20:05:32,8,29,Location_64,1
TX00080,4315.65,2023-09-20 17:40:23,166,314,Location_81,0
TX00081,3116.87,2023-12-18 22:53:57,435,56,Location_56,0
TX00082,1655.16,2023-07-11 00:43:15,395,102,Location_98,0
TX00083,318.73,2023-07-22 21:00:30,71,478,Location_97,0
TX00084,1555.6,2023-09-10 05:22:10,39,101,Location_25,0
TX00085,1626.59,2023-09-22 15:32:04,98,16,Location_27,0
TX00086,3648.3,2023-10-21 02:06:28,736,846,Location_91,0
TX00087,3188.15,2023-04-01 02:59:59,394,478,Location_5,0
TX00088,4436.18,2023-08-06 10:43:26,458,1000,Location_53,0
TX00089,2361.6,2023-12-28 18:57:39,27,267,Location_28,0
TX00090,598.85,2023-02-13 16:38:41,330,814,Location_86,0
TX00091,3566.51,2023-11-02 06:32:50,204,186,Location_85,0
TX00092,3804.16,2023-07-17 10:02:58,951,703,Location_30,0
TX00093,2806.82,2023-01-18 15:23:47,366,635,Location_70,0
TX00094,3855.06,2023-12-14 09:25:45,139,993,Location_37,0
TX00095,2469.48,2023-12-26 19:57:42,163,178,Location_16,0
TX00096,2614.14,2023-09-01 06:50:12,948,306,Location_68,0
TX00097,2138.28,2023-09-12 06:14:34,785,237,Location_40,0
TX00098,128.07,2023-06-15 22:34:42,841,583,Location_70,0
TX00099,540.35,2023-06-29 14:50:48,474,901,Location_59,0
TX00100,158.11,2023-12-22 08:44:33,735,83,Location_36,1
TX00101,3182.42,2023-07-26 03:09:56,329,183,Location_100,0
TX00102,1572.47,2023-06-19 03:24:49,668,387,Location_65,1
TX00103,2543.34,2023-01-13 11:15:06,626,410,Location_22,0
TX00104,4537.92,2023-01-19 21:44:21,153,285,Location_15,0
TX00105,1247.21,2023-06-12 15:14:37,345,31,Location_77,0
TX00106,2052.5,2023-01-21 16:17:35,450,772,Location_8,0
TX00107,3778.0,2023-09-12 19:22:39,289,447,Location_51,0
TX00108,1144.76,2023-04-17 16:32:34,100,663,Location_50,0
TX00109,385.82,2023-01-27 07:27:15,693,139,Location_38,0
TX00110,1449.47,2023-09-16 20:00:48,164,657,Location_18,0
TX00111,806.95,2023-09-29 19:23:54,923,946,Location_18,0
TX00112,4648.56,2023-09-11 04:04:53,791,417,Location_87,0
TX00113,4040.79,2023-11-15 14:58:54,882,519,Location_2,0
TX00114,3167.39,2023-03-13 14:17:53,898,310,Location_86,0
TX00115,4357.43,2023-09-19 05:18:00,29,496,Location_62,0
TX00116,4018.56,2023-04-22 13:58:39,200,555,Location_71,0
TX00117,933.66,2023-01-28 11:15:14,682,279,Location_14,0
TX00118,4462.9,2023-11-15 05:58:13,994,940,Location_79,0
TX00119,2697.17,2023-10-29 15:18:18,637,199,Location_99,0
TX00120,4037.39,2023-07-23 16:49:05,248,42,Location_77,0
TX00121,4480.56,2023-11-03 06:17:15,719,48,Location_81,0
TX00122,1590.7,2023-01-26 01:57:03,445,428,Location_33,0
TX00123,551.15,2023-01-06 15:21:01,48,185,Location_68,0
TX00124,1140.45,2023-08-25 09:46:46,503,393,Location_77,0
TX00125,2136.11,2023-02-06 18:53:07,47,775,Location_83,0
TX00126,4090.26,2023-07-25 22:28:14,894,664,Location_31,0
TX00127,4303.79,2023-11-09 16:46:46,383,455,Location_80,0
TX00128,35.75,2023-06-29 10:07:28,194,569,Location_75,0
TX00129,2554.23,2023-08-09 05:01:36,902,805,Location_53,0
TX00130,2087.64,2023-04-18 22:29:56,507,768,Location_17,1
TX00131,1111.32,2023-12-09 23:30:31,386,45,Location_30,0
TX00132,600.21,2023-06-30 07:19:11,750,658,Location_61,0
TX00133,1688.74,2023-10-25 11:13:17,542,48,Location_39,0
TX00134,4714.61,2023-05-07 22:13:40,241,427,Location_43,0
TX00135,1616.69,2023-04-05 17:12:55,189,176,Location_20,0
TX00136,2594.43,2023-07-29 01:00:29,672,791,Location_69,0
TX00137,3515.39,2023-01-09 08:17:30,533,194,Location_26,0
TX00138,1818.78,2023-12-14 16:08:15,432,732,Location_23,0
TX00139,4858.94,2023-05-20 10:45:30,943,806,Location_89,0
TX00140,4812.27,2023-01-20 18:27:25,947,895,Location_81,0
TX00141,1259.66,2023-07-18 22:06:07,812,219,Location_5,0
TX00142,2486.75,2023-12-25 08:00:01,480,340,Location_7,0
TX00143,1505.09,2023-02-07 00:34:49,829,591,Location_17,0
TX00144,1424.92,2023-04-15 00:55:25,267,676,Location_70,0
TX00145,185.4,2023-11-25 04:36:34,508,501,Location_72,0
TX00146,3048.21,2023-09-07 01:36:12,978,893,Location_72,0
TX00147,2513.89,2023-12-02 06:54:28,933,56,Location_4,0
TX00148,258.34,2023-12-18 21:49:06,41,396,Location_42,0
TX00149,1393.95,2023-10-25 08:25:53,299,488,Location_69,0
TX00150,4541.42,2023-08-26 12:53:37,395,268,Location_84,0
TX00151,1198.57,2023-12-05 07:26:42,17,755,Location_91,0
TX00152,725.33,2023-11-14 01:20:14,681,20,Location_17,0
TX00153,2447.77,2023-01-21 09:42:45,490,801,Location_69,0
TX00154,4928.27,2023-02-23 22:20:06,273,863,Location_33,0
TX00155,1211.03,2023-08-07 09:25:22,180,633,Location_66,0
TX00156,3361.01,2023-09-02 10:21:57,246,277,Location_4,0
TX00157,3808.34,2023-08-10 20:48:23,55,571,Location_78,0
TX00158,1188.95,2023-09-19 09:01:53,518,866,Location_66,0
TX00159,3641.35,2023-09-01 20:57:43,963,397,Location_36,0
TX00160,1839.55,2023-04-03 12:34:30,821,475,Location_46,0
TX00161,3161.9,2023-09-15 02:58:40,961,611,Location_38,0
TX00162,3168.02,2023-02-21 02:13:40,333,427,Location_21,0
TX00163,2679.34,2023-12-23 11:12:02,183,316,Location_48,0
TX00164,452.36,2023-08-14 08:59:50,704,366,Location_1,0
